iter	Passed	Remaining
0	106	106081	1	175	87353
2	275	91558
3	320	79824	4	392	78025	5	600	99430
6	710	100859
7	780	96786
8	861	94846
9	957	94789
10	1092	98233
11	1135	93518
12	1232	93573
13	1317	92780
14	1490	97844
15	1531	94212
16	1632	94393
17	1694	92450
18	1717	88658
19	1831	89765
20	1895	88361
21	2000	88933
22	2069	87919
23	2160	87855
24	2238	87298
25	2323	826	2426	2397	86385
27	2452	85135
28	2548	85324
29	2664	86149
30	2742	85718
31	2824	85444
32	2895	84839
33	2973	84468
34	3071	84682
35	3196	85582
36	3288	85600
37	3395	85949
38	3439	84740
39	3468	83239
40	3574	83614
41	3688	84126
42	3975	88476
43	4013	87192
44	4192	88973
45	4314	89469
46	4410	89430
47	4476	88789
48	4593	89151
49	4672	88775
50	4811	89530
51	4856	88544
52	4961	88654
53	5046	88408
54	5085	87374
55	5134	86545
56	5209	86184
57	5261	85451
58	5293	84433
59	5337	83617
60	5440	83751
61	5603	84778
62	5689	84621
63	5750	84106
64	5823	83768
65	5888	83335
66	5999	83550
67	6104	83666
68	6172	83283
69	6295	83645
70	6401	83759
71	6497	83748
72	6601	83831
73	6712	83992
74	6828	84222
75	6941	84399
76	7004	83967
77	7093	83844
78	7142	83274
79	7190	82694
80	7218	81899
81	7304	81771
82	7363	81356
83	7460	81355
84	7539	81164
85	7599	80772
86	7683	80627
87	7723	80040
88	7764	79479
89	7858	79455
90	8004	79955
91	8093	79877
92	8195	79929
93	8234	79365
94	8292	78992
95	8440	79477
96	8550	79601
97	8682	79912
98	8809	80174
99	8923	80308
100	9147	81419
101	9169	80727
102	9239	80466
103	9340	80467
104	9442	80489
105	9558	80612
106	9617	80269
107	9671	79882
108	9754	79740
109	9850	79700
110	9875	79096
111	9997	79263
112	10072	79064
113	10184	79152
114	10279	79110
115	10386	79154
116	10589	79922
117	10660	79683
118	10692	79163
119	10774	79013
120	10824	78634
121	10880	78306
122	10932	77949
123	11065	78175
124	11144	78010
125	11235	77934
126	11260	77404
127	11322	77135
128	11410	77042
129	11426	76471
130	11484	76183
131	11572	76100
132	11628	75802
133	11716	75720
134	11783	75499
135	11811	75034
136	11912	75038
137	12028	75137
138	12060	74703
139	12150	74639
140	12286	74853
141	12378	74794
142	12521	75038
143	12620	75019
144	12711	74951
145	12797	74857
146	12835	74481
147	12925	74407
148	13023	74382
149	13103	74255
150	13204	74240
151	13292	74156
152	13365	73993
153	13404	73635
154	13531	73766
155	13680	74012
156	13965	74986
157	14095	75114
158	14238	75311
159	14353	75358
160	14434	75221
161	14556	75299
162	14627	75113
163	14701	74941
164	14803	74915
165	14837	74547
166	14902	74334
167	14963	74105
168	15029	73903
169	15103	73741
170	15263	73996
171	15322	73759
172	15377	73510
173	15450	73343
174	15531	73221
175	15647	73260
176	15723	73111
177	16179	74716
178	16247	74519
179	16450	74939
180	16497	74649
181	16658	74873
182	16812	75057
183	17038	75560
184	17287	76159
185	17492	76551
186	17619	76603
187	17672	76329
188	17765	76230
189	17821	75976
190	17892	75787
191	17989	75705
192	18035	75413
193	18133	75336
194	18223	75228
195	18323	75164
196	18421	75087
197	18476	74837
198	18541	74630
199	18735	74940
200	18982	75458
201	19086	75401
202	19162	75234
203	19232	75044
204	19337	74992
205	19355	74603
206	19469	74586
207	19624	74723
208	19763	74799
209	19853	74687
210	19888	74371
211	20029	74450
212	20112	74314
213	20215	74250
214	20270	74010
215	20297	73671
216	20408	73639
217	20493	73513
218	20734	73943
219	20796	73734
